T[ms];I[A];U[V];P[W];całka
1528;36,61;3,425;125,3892;125,3892
1529;36,61;3,425;125,3892;125,3892
1530;36,61;3,425;125,3892;126,1214
1531;36,61;3,465;126,8536;124,0228
1532;36,22;3,346;121,1921;124,0228
1533;36,61;3,465;126,8536;126,1214
1534;36,61;3,425;125,3892;125,3892
1535;36,61;3,425;125,3892;126,1214
1536;36,61;3,465;126,8536;126,8536
1537;36,61;3,465;126,8536;126,8536
1538;36,61;3,465;126,8536;125,4076
1539;36,61;3,386;123,9615;124,6754
1540;36,61;3,425;125,3892;125,3892
1541;36,61;3,425;125,3892;126,8353
1542;36,61;3,504;128,2814;127,5675
1543;36,61;3,465;126,8536;126,1214
1544;36,61;3,425;125,3892;125,3892
1545;36,61;3,425;125,3892;126,1214
1546;36,61;3,465;126,8536;126,178
1547;36,22;3,465;125,5023;126,178
1548;36,61;3,465;126,8536;127,5675
1549;36,61;3,504;128,2814;126,8353
1550;36,61;3,425;125,3892;126,8353
1551;36,61;3,504;128,2814;126,8353
1552;36,61;3,425;125,3892;126,1214
1553;36,61;3,465;126,8536;126,1214
1554;36,61;3,425;125,3892;125,3892
1555;36,61;3,425;125,3892;126,1214
1556;36,61;3,465;126,8536;126,1214
1557;36,61;3,425;125,3892;125,3892
1558;36,61;3,425;125,3892;125,3892
1559;36,61;3,425;125,3892;125,3892
1560;36,61;3,425;125,3892;125,3892
1561;36,61;3,425;125,3892;125,3892
1562;36,61;3,425;125,3892;125,3892
1563;36,61;3,425;125,3892;125,3892
1564;36,61;3,425;125,3892;126,0742
1565;37,01;3,425;126,7592;126,0742
1566;36,61;3,425;125,3892;124,7214
1567;36,22;3,425;124,0535;125,4536
1568;36,61;3,465;126,8536;126,1214
1569;36,61;3,425;125,3892;125,3892
1570;36,61;3,425;125,3892;126,1214
1571;36,61;3,465;126,8536;126,8536
1572;36,61;3,465;126,8536;127,5675
1573;36,61;3,504;128,2814;127,5675
1574;36,61;3,465;126,8536;126,8536
1575;36,61;3,465;126,8536;126,8536
1576;36,61;3,465;126,8536;126,8842
1577;36,22;3,504;126,9149;127,5982
1578;36,61;3,504;128,2814;126,8353
1579;36,61;3,425;125,3892;125,3892
1580;36,61;3,425;125,3892;126,8353
1581;36,61;3,504;128,2814;126,8918
1582;36,22;3,465;125,5023;126,8918
1583;36,61;3,504;128,2814;126,8353
1584;36,61;3,425;125,3892;125,3892
1585;36,61;3,425;125,3892;125,3892
1586;36,61;3,425;125,3892;125,4458
1587;36,22;3,465;125,5023;125,4458
1588;36,61;3,425;125,3892;126,1214
1589;36,61;3,465;126,8536;126,1214
1590;36,61;3,425;125,3892;125,3892
1591;36,61;3,425;125,3892;126,152
1592;36,22;3,504;126,9149;126,8842
1593;36,61;3,465;126,8536;126,8536
1594;36,61;3,465;126,8536;126,1214
1595;36,61;3,425;125,3892;125,3892
1596;36,61;3,425;125,3892;126,152
1597;36,22;3,504;126,9149;127,5982
1598;36,61;3,504;128,2814;126,8353
1599;36,61;3,425;125,3892;126,0742
1600;37,01;3,425;126,7592;126,0742
1601;36,61;3,425;125,3892;126,152
1602;36,22;3,504;126,9149;125,4842
1603;36,22;3,425;124,0535;124,7214
1604;36,61;3,425;125,3892;126,1214
1605;36,61;3,465;126,8536;126,1214
1606;36,61;3,425;125,3892;125,3892
1607;36,61;3,425;125,3892;126,1214
1608;36,61;3,465;126,8536;126,1214
1609;36,61;3,425;125,3892;126,0742
1610;37,01;3,425;126,7592;126,0742
1611;36,61;3,425;125,3892;125,4458
1612;36,22;3,465;125,5023;125,4458
1613;36,61;3,425;125,3892;125,3892
1614;36,61;3,425;125,3892;125,3892
1615;36,61;3,425;125,3892;125,3892
1616;36,61;3,425;125,3892;126,1214
1617;36,61;3,465;126,8536;126,1214
1618;36,61;3,425;125,3892;125,3892
1619;36,61;3,425;125,3892;126,8353
1620;36,61;3,504;128,2814;127,5675
1621;36,61;3,465;126,8536;126,8842
1622;36,22;3,504;126,9149;127,5982
1623;36,61;3,504;128,2814;127,5675
1624;36,61;3,465;126,8536;126,1214
1625;36,61;3,425;125,3892;126,1214
1626;36,61;3,465;126,8536;127,5675
1627;36,61;3,504;128,2814;127,5982
1628;36,22;3,504;126,9149;126,8842
1629;36,61;3,465;126,8536;125,4076
1630;36,61;3,386;123,9615;126,1214
1631;36,61;3,504;128,2814;127,5982
1632;36,22;3,504;126,9149;126,8842
1633;36,61;3,465;126,8536;126,1214
1634;36,61;3,425;125,3892;125,3892
1635;36,61;3,425;125,3892;125,3892
1636;36,61;3,425;125,3892;126,152
1637;36,22;3,504;126,9149;127,5982
1638;36,61;3,504;128,2814;126,8353
1639;36,61;3,425;125,3892;125,3892
1640;36,61;3,425;125,3892;125,3892
1641;36,61;3,425;125,3892;126,8353
1642;36,61;3,504;128,2814;128,2814
1643;36,61;3,504;128,2814;126,8353
1644;36,61;3,425;125,3892;126,8353
1645;36,61;3,504;128,2814;127,5675
1646;36,61;3,465;126,8536;126,8842
1647;36,22;3,504;126,9149;126,2086
1648;36,22;3,465;125,5023;126,8918
1649;36,61;3,504;128,2814;128,2814
1650;36,61;3,504;128,2814;126,8353
1651;36,61;3,425;125,3892;125,3892
1652;36,61;3,425;125,3892;126,152
1653;36,22;3,504;126,9149;126,8842
1654;36,61;3,465;126,8536;126,8536
1655;36,61;3,465;126,8536;126,1214
1656;36,61;3,425;125,3892;126,1214
1657;36,61;3,465;126,8536;127,5675
1658;36,61;3,504;128,2814;126,8353
1659;36,61;3,425;125,3892;126,0742
1660;37,01;3,425;126,7592;126,0742
1661;36,61;3,425;125,3892;125,3892
1662;36,61;3,425;125,3892;125,3892
1663;36,61;3,425;125,3892;126,1214
1664;36,61;3,465;126,8536;126,1214
1665;36,61;3,425;125,3892;125,3892
1666;36,61;3,425;125,3892;126,8353
1667;36,61;3,504;128,2814;126,1674
1668;36,22;3,425;124,0535;126,1674
1669;36,61;3,504;128,2814;126,8353
1670;36,61;3,425;125,3892;126,1214
1671;36,61;3,465;126,8536;126,8536
1672;36,61;3,465;126,8536;128,2814
1673;36,61;3,543;129,7092;128,9953
1674;36,61;3,504;128,2814;126,8353
1675;36,61;3,425;125,3892;125,3892
1676;36,61;3,425;125,3892;126,8353
1677;36,61;3,504;128,2814;128,2814
1678;36,61;3,504;128,2814;128,2814
1679;36,61;3,504;128,2814;127,5675
1680;36,61;3,465;126,8536;126,1214
1681;36,61;3,425;125,3892;126,8353
1682;36,61;3,504;128,2814;126,1674
1683;36,22;3,425;124,0535;126,1674
1684;36,61;3,504;128,2814;128,2605
1685;37,01;3,465;128,2396;126,8144
1686;36,61;3,425;125,3892;126,8353
1687;36,61;3,504;128,2814;128,2814
1688;36,61;3,504;128,2814;127,5675
1689;36,61;3,465;126,8536;127,5675
1690;36,61;3,504;128,2814;128,2814
1691;36,61;3,504;128,2814;128,2814
1692;36,61;3,504;128,2814;126,8353
1693;36,61;3,425;125,3892;126,1214
1694;36,61;3,465;126,8536;126,8064
1695;37,01;3,425;126,7592;126,8064
1696;36,61;3,465;126,8536;126,8842
1697;36,22;3,504;126,9149;125,4842
1698;36,22;3,425;124,0535;126,1674
1699;36,61;3,504;128,2814;126,8353
1700;36,61;3,425;125,3892;126,1214
1701;36,61;3,465;126,8536;126,8536
1702;36,61;3,465;126,8536;127,5906
1703;36,22;3,543;128,3275;126,8584
1704;36,61;3,425;125,3892;125,3892
1705;36,61;3,425;125,3892;126,1214
1706;36,61;3,465;126,8536;127,5675
1707;36,61;3,504;128,2814;126,8353
1708;36,61;3,425;125,3892;125,3892
1709;36,61;3,425;125,3892;126,1214
1710;36,61;3,465;126,8536;126,8064
1711;37,01;3,425;126,7592;126,8064
1712;36,61;3,465;126,8536;126,1214
1713;36,61;3,425;125,3892;126,1214
1714;36,61;3,465;126,8536;126,1214
1715;36,61;3,425;125,3892;126,0742
1716;37,01;3,425;126,7592;126,0742
1717;36,61;3,425;125,3892;126,8353
1718;36,61;3,504;128,2814;129,7275
1719;36,61;3,583;131,1736;128,2814
1720;36,61;3,425;125,3892;126,8353
1721;36,61;3,504;128,2814;128,2814
1722;36,61;3,504;128,2814;129,7275
1723;36,61;3,583;131,1736;129,0442
1724;36,22;3,504;126,9149;126,8842
1725;36,61;3,465;126,8536;128,2683
1726;37,01;3,504;129,683;129,0052
1727;36,22;3,543;128,3275;126,8584
1728;36,61;3,425;125,3892;126,152
1729;36,22;3,504;126,9149;127,5982
1730;36,61;3,504;128,2814;128,2605
1731;37,01;3,465;128,2396;128,2605
1732;36,61;3,504;128,2814;127,5982
1733;36,22;3,504;126,9149;127,5982
1734;36,61;3,504;128,2814;126,8353
1735;36,61;3,425;125,3892;126,8144
1736;37,01;3,465;128,2396;128,2605
1737;36,61;3,504;128,2814;128,2814
1738;36,61;3,504;128,2814;126,8353
1739;36,61;3,425;125,3892;125,3892
1740;36,61;3,425;125,3892;125,3892
1741;36,61;3,425;125,3892;126,1214
1742;36,61;3,465;126,8536;125,4536
1743;36,22;3,425;124,0535;125,4536
1744;36,61;3,465;126,8536;126,8536
1745;36,61;3,465;126,8536;126,1214
1746;36,61;3,425;125,3892;126,8353
1747;36,61;3,504;128,2814;126,8353
1748;36,61;3,425;125,3892;126,8353
1749;36,61;3,504;128,2814;125,3892
1750;36,61;3,346;122,4971;125,3892
1751;36,61;3,504;128,2814;128,2814
1752;36,61;3,504;128,2814;126,1674
1753;36,22;3,425;124,0535;126,1674
1754;36,61;3,504;128,2814;126,8353
1755;36,61;3,425;125,3892;126,1214
1756;36,61;3,465;126,8536;126,8536
1757;36,61;3,465;126,8536;127,5675
1758;36,61;3,504;128,2814;128,2814
1759;36,61;3,504;128,2814;126,8353
1760;36,61;3,425;125,3892;125,3892
1761;36,61;3,425;125,3892;125,3892
1762;36,61;3,425;125,3892;126,1214
1763;36,61;3,465;126,8536;126,178
1764;36,22;3,465;125,5023;125,4458
1765;36,61;3,425;125,3892;125,3892
1766;36,61;3,425;125,3892;126,8353
1767;36,61;3,504;128,2814;127,5982
1768;36,22;3,504;126,9149;127,5982
1769;36,61;3,504;128,2814;128,2814
1770;36,61;3,504;128,2814;127,5675
1771;36,61;3,465;126,8536;127,5675
1772;36,61;3,504;128,2814;128,2814
1773;36,61;3,504;128,2814;127,5982
1774;36,22;3,504;126,9149;127,5982
1775;36,61;3,504;128,2814;126,8353
1776;36,61;3,425;125,3892;126,8353
1777;36,61;3,504;128,2814;128,9953
1778;36,61;3,543;129,7092;128,9953
1779;36,61;3,504;128,2814;127,5675
1780;36,61;3,465;126,8536;126,1214
1781;36,61;3,425;125,3892;126,1214
1782;36,61;3,465;126,8536;126,8842
1783;36,22;3,504;126,9149;127,5982
1784;36,61;3,504;128,2814;126,8353
1785;36,61;3,425;125,3892;127,5361
1786;37,01;3,504;129,683;128,9822
1787;36,61;3,504;128,2814;127,5982
1788;36,22;3,504;126,9149;127,5982
1789;36,61;3,504;128,2814;128,2814
1790;36,61;3,504;128,2814;127,5203
1791;37,01;3,425;126,7592;126,8064
1792;36,61;3,465;126,8536;127,5675
1793;36,61;3,504;128,2814;128,2814
1794;36,61;3,504;128,2814;128,2814
1795;36,61;3,504;128,2814;126,8353
1796;36,61;3,425;125,3892;126,8353
1797;36,61;3,504;128,2814;128,2814
1798;36,61;3,504;128,2814;128,9953
1799;36,61;3,543;129,7092;128,9953
1800;36,61;3,504;128,2814;127,5675
1801;36,61;3,465;126,8536;127,5675
1802;36,61;3,504;128,2814;128,2814
1803;36,61;3,504;128,2814;128,2814
1804;36,61;3,504;128,2814;128,2814
1805;36,61;3,504;128,2814;126,8353
1806;36,61;3,425;125,3892;126,1214
1807;36,61;3,465;126,8536;126,8536
1808;36,61;3,465;126,8536;127,5675
1809;36,61;3,504;128,2814;126,8353
1810;36,61;3,425;125,3892;125,3892
1811;36,61;3,425;125,3892;126,1214
1812;36,61;3,465;126,8536;127,5675
1813;36,61;3,504;128,2814;126,1674
1814;36,22;3,425;124,0535;125,4536
1815;36,61;3,465;126,8536;126,1214
1816;36,61;3,425;125,3892;126,8353
1817;36,61;3,504;128,2814;128,2814
1818;36,61;3,504;128,2814;128,2814
1819;36,61;3,504;128,2814;128,2814
1820;36,61;3,504;128,2814;126,8353
1821;36,61;3,425;125,3892;126,8353
1822;36,61;3,504;128,2814;128,2814
1823;36,61;3,504;128,2814;127,6136
1824;35,83;3,543;126,9457;127,6136
1825;36,61;3,504;128,2814;126,8353
1826;36,61;3,425;125,3892;126,8353
1827;36,61;3,504;128,2814;127,5982
1828;36,22;3,504;126,9149;126,9149
1829;36,22;3,504;126,9149;127,5982
1830;36,61;3,504;128,2814;128,2814
1831;36,61;3,504;128,2814;128,2814
1832;36,61;3,504;128,2814;128,2814
1833;36,61;3,504;128,2814;128,2814
1834;36,61;3,504;128,2814;128,2814
1835;36,61;3,504;128,2814;126,8353
1836;36,61;3,425;125,3892;126,1214
1837;36,61;3,465;126,8536;126,8842
1838;36,22;3,504;126,9149;128,312
1839;36,61;3,543;129,7092;128,9953
1840;36,61;3,504;128,2814;126,8353
1841;36,61;3,425;125,3892;126,8353
1842;36,61;3,504;128,2814;128,9953
1843;36,61;3,543;129,7092;128,9953
1844;36,61;3,504;128,2814;128,2814
1845;36,61;3,504;128,2814;128,2814
1846;36,61;3,504;128,2814;128,2814
1847;36,61;3,504;128,2814;128,2814
1848;36,61;3,504;128,2814;128,2814
1849;36,61;3,504;128,2814;128,2814
1850;36,61;3,504;128,2814;128,2814
1851;36,61;3,504;128,2814;127,5675
1852;36,61;3,465;126,8536;127,5675
1853;36,61;3,504;128,2814;128,9953
1854;36,61;3,543;129,7092;128,9953
1855;36,61;3,504;128,2814;126,8353
1856;36,61;3,425;125,3892;126,1214
1857;36,61;3,465;126,8536;127,5675
1858;36,61;3,504;128,2814;128,2814
1859;36,61;3,504;128,2814;128,2814
1860;36,61;3,504;128,2814;127,5203
1861;37,01;3,425;126,7592;126,0742
1862;36,61;3,425;125,3892;126,8353
1863;36,61;3,504;128,2814;128,2814
1864;36,61;3,504;128,2814;128,2814
1865;36,61;3,504;128,2814;127,5675
1866;36,61;3,465;126,8536;126,1214
1867;36,61;3,425;125,3892;126,8353
1868;36,61;3,504;128,2814;129,7275
1869;36,61;3,583;131,1736;129,7275
1870;36,61;3,504;128,2814;128,2814
1871;36,61;3,504;128,2814;128,2814
1872;36,61;3,504;128,2814;128,9953
1873;36,61;3,543;129,7092;128,9953
1874;36,61;3,504;128,2814;128,2814
1875;36,61;3,504;128,2814;127,5675
1876;36,61;3,465;126,8536;126,8536
1877;36,61;3,465;126,8536;127,5675
1878;36,61;3,504;128,2814;127,5982
1879;36,22;3,504;126,9149;127,5982
1880;36,61;3,504;128,2814;127,5675
1881;36,61;3,465;126,8536;127,5675
1882;36,61;3,504;128,2814;128,2814
1883;36,61;3,504;128,2814;128,9953
1884;36,61;3,543;129,7092;128,9953
1885;36,61;3,504;128,2814;127,5675
1886;36,61;3,465;126,8536;127,5675
1887;36,61;3,504;128,2814;128,2814
1888;36,61;3,504;128,2814;127,5675
1889;36,61;3,465;126,8536;127,5675
1890;36,61;3,504;128,2814;126,8353
1891;36,61;3,425;125,3892;126,1214
1892;36,61;3,465;126,8536;126,1214
1893;36,61;3,425;125,3892;126,8353
1894;36,61;3,504;128,2814;128,2814
1895;36,61;3,504;128,2814;128,2814
1896;36,61;3,504;128,2814;128,2814
1897;36,61;3,504;128,2814;126,8353
1898;36,61;3,425;125,3892;125,3892
1899;36,61;3,425;125,3892;126,152
1900;36,22;3,504;126,9149;127,5982
1901;36,61;3,504;128,2814;128,2814
1902;36,61;3,504;128,2814;128,9953
1903;36,61;3,543;129,7092;128,9953
1904;36,61;3,504;128,2814;128,2814
1905;36,61;3,504;128,2814;128,2814
1906;36,61;3,504;128,2814;127,5675
1907;36,61;3,465;126,8536;127,5675
1908;36,61;3,504;128,2814;128,9953
1909;36,61;3,543;129,7092;128,9953
1910;36,61;3,504;128,2814;127,5675
1911;36,61;3,465;126,8536;126,1214
1912;36,61;3,425;125,3892;126,8353
1913;36,61;3,504;128,2814;130,4414
1914;36,22;3,661;132,6014;129,7275
1915;36,61;3,465;126,8536;126,1214
1916;36,61;3,425;125,3892;127,5361
1917;37,01;3,504;129,683;128,9822
1918;36,61;3,504;128,2814;126,8353
1919;36,61;3,425;125,3892;126,8353
1920;36,61;3,504;128,2814;128,2814
1921;36,61;3,504;128,2814;128,2814
1922;36,61;3,504;128,2814;128,2814
1923;36,61;3,504;128,2814;127,5675
1924;36,61;3,465;126,8536;127,5675
1925;36,61;3,504;128,2814;128,2814
1926;36,61;3,504;128,2814;128,2814
1927;36,61;3,504;128,2814;128,9953
1928;36,61;3,543;129,7092;130,4414
1929;36,61;3,583;131,1736;129,7275
1930;36,61;3,504;128,2814;126,8353
1931;36,61;3,425;125,3892;126,8353
1932;36,61;3,504;128,2814;128,2814
1933;36,61;3,504;128,2814;128,9953
1934;36,61;3,543;129,7092;128,9953
1935;36,61;3,504;128,2814;128,2814
1936;36,61;3,504;128,2814;126,8353
1937;36,61;3,425;125,3892;126,8353
1938;36,61;3,504;128,2814;128,9953
1939;36,61;3,543;129,7092;128,9953
1940;36,61;3,504;128,2814;128,2814
1941;36,61;3,504;128,2814;128,2814
1942;36,61;3,504;128,2814;128,9953
1943;36,61;3,543;129,7092;127,6058
1944;36,22;3,465;125,5023;126,8918
1945;36,61;3,504;128,2814;126,8353
1946;36,61;3,425;125,3892;126,8353
1947;36,61;3,504;128,2814;128,2814
1948;36,61;3,504;128,2814;128,9953
1949;36,61;3,543;129,7092;129,7092
1950;36,61;3,543;129,7092;128,2814
1951;36,61;3,465;126,8536;127,5675
1952;36,61;3,504;128,2814;128,2814
1953;36,61;3,504;128,2814;128,2814
1954;36,61;3,504;128,2814;128,2814
1955;36,61;3,504;128,2814;127,5675
1956;36,61;3,465;126,8536;126,8536
1957;36,61;3,465;126,8536;125,4536
1958;36,22;3,425;124,0535;126,8814
1959;36,61;3,543;129,7092;128,2814
1960;36,61;3,465;126,8536;126,1214
1961;36,61;3,425;125,3892;126,8144
1962;37,01;3,465;128,2396;127,5466
1963;36,61;3,465;126,8536;127,5675
1964;36,61;3,504;128,2814;127,5982
1965;36,22;3,504;126,9149;127,5982
1966;36,61;3,504;128,2814;126,8353
1967;36,61;3,425;125,3892;126,8353
1968;36,61;3,504;128,2814;127,5982
1969;36,22;3,504;126,9149;128,312
1970;36,61;3,543;129,7092;128,9953
1971;36,61;3,504;128,2814;128,2814
1972;36,61;3,504;128,2814;128,2814
1973;36,61;3,504;128,2814;128,9953
1974;36,61;3,543;129,7092;128,9953
1975;36,61;3,504;128,2814;128,9953
1976;36,61;3,543;129,7092;128,9953
1977;36,61;3,504;128,2814;128,2814
1978;36,61;3,504;128,2814;128,9953
1979;36,61;3,543;129,7092;129,7092
1980;36,61;3,543;129,7092;128,9953
1981;36,61;3,504;128,2814;126,8353
1982;36,61;3,425;125,3892;126,8353
1983;36,61;3,504;128,2814;128,9953
1984;36,61;3,543;129,7092;128,9953
1985;36,61;3,504;128,2814;128,9953
1986;36,61;3,543;129,7092;128,9953
1987;36,61;3,504;128,2814;128,2814
1988;36,61;3,504;128,2814;127,5982
1989;36,22;3,504;126,9149;127,5982
1990;36,61;3,504;128,2814;128,2814
1991;36,61;3,504;128,2814;128,2814
1992;36,61;3,504;128,2814;128,2814
1993;36,61;3,504;128,2814;128,2814
1994;36,61;3,504;128,2814;127,5982
1995;36,22;3,504;126,9149;127,5982
1996;36,61;3,504;128,2814;128,2814
1997;36,61;3,504;128,2814;128,2814
1998;36,61;3,504;128,2814;128,3044
1999;36,22;3,543;128,3275;129,0184
2000;36,61;3,543;129,7092;128,9953
2001;36,61;3,504;128,2814;128,9953
2002;36,61;3,543;129,7092;128,9953
2003;36,61;3,504;128,2814;128,3044
2004;36,22;3,543;128,3275;128,3044
2005;36,61;3,504;128,2814;128,2814
2006;36,61;3,504;128,2814;128,2814
2007;36,61;3,504;128,2814;127,5675
2008;36,61;3,465;126,8536;127,5675
2009;36,61;3,504;128,2814;127,5982
2010;36,22;3,504;126,9149;126,8842
2011;36,61;3,465;126,8536;128,2814
2012;36,61;3,543;129,7092;128,9953
2013;36,61;3,504;128,2814;128,2814
2014;36,61;3,504;128,2814;128,3044
2015;36,22;3,543;128,3275;128,3044
2016;36,61;3,504;128,2814;126,8353
2017;36,61;3,425;125,3892;126,8353
2018;36,61;3,504;128,2814;127,5982
2019;36,22;3,504;126,9149;127,5982
2020;36,61;3,504;128,2814;128,2814
2021;36,61;3,504;128,2814;128,2814
2022;36,61;3,504;128,2814;128,2814
2023;36,61;3,504;128,2814;128,9953
2024;36,61;3,543;129,7092;128,9953
2025;36,61;3,504;128,2814;128,2814
2026;36,61;3,504;128,2814;127,5675
2027;36,61;3,465;126,8536;127,5675
2028;36,61;3,504;128,2814;128,3044
2029;36,22;3,543;128,3275;129,0184
2030;36,61;3,543;129,7092;128,9953
2031;36,61;3,504;128,2814;126,8353
2032;36,61;3,425;125,3892;127,5361
2033;37,01;3,504;129,683;128,2683
2034;36,61;3,465;126,8536;127,5675
2035;36,61;3,504;128,2814;128,2814
2036;36,61;3,504;128,2814;128,2814
2037;36,61;3,504;128,2814;128,2814
2038;36,61;3,504;128,2814;128,9953
2039;36,61;3,543;129,7092;128,9953
2040;36,61;3,504;128,2814;128,2814
2041;36,61;3,504;128,2814;128,2814
2042;36,61;3,504;128,2814;128,2814
2043;36,61;3,504;128,2814;128,2814
2044;36,61;3,504;128,2814;128,3044
2045;36,22;3,543;128,3275;128,3044
2046;36,61;3,504;128,2814;127,5675
2047;36,61;3,465;126,8536;127,5675
2048;36,61;3,504;128,2814;128,2814
2049;36,61;3,504;128,2814;128,2814
2050;36,61;3,504;128,2814;128,2814
2051;36,61;3,504;128,2814;128,2814
2052;36,61;3,504;128,2814;127,5675
2053;36,61;3,465;126,8536;128,2814
2054;36,61;3,543;129,7092;129,7092
2055;36,61;3,543;129,7092;128,9953
2056;36,61;3,504;128,2814;126,8353
2057;36,61;3,425;125,3892;126,8353
2058;36,61;3,504;128,2814;128,2814
2059;36,61;3,504;128,2814;128,3044
2060;36,22;3,543;128,3275;128,3044
2061;36,61;3,504;128,2814;126,8353
2062;36,61;3,425;125,3892;126,8353
2063;36,61;3,504;128,2814;128,9953
2064;36,61;3,543;129,7092;128,2814
2065;36,61;3,465;126,8536;127,5675
2066;36,61;3,504;128,2814;126,8353
2067;36,61;3,425;125,3892;126,8353
2068;36,61;3,504;128,2814;128,9953
2069;36,61;3,543;129,7092;129,0184
2070;36,22;3,543;128,3275;129,0184
2071;36,61;3,543;129,7092;128,9953
2072;36,61;3,504;128,2814;128,9953
2073;36,61;3,543;129,7092;129,7092
2074;36,61;3,543;129,7092;129,7428
2075;36,22;3,583;129,7763;129,0519
2076;36,22;3,543;128,3275;129,0184
2077;36,61;3,543;129,7092;128,9953
2078;36,61;3,504;128,2814;129,7275
2079;36,61;3,583;131,1736;129,0442
2080;36,22;3,504;126,9149;127,5982
2081;36,61;3,504;128,2814;128,2814
2082;36,61;3,504;128,2814;128,2814
2083;36,61;3,504;128,2814;128,9953
2084;36,61;3,543;129,7092;129,7092
2085;36,61;3,543;129,7092;128,9953
2086;36,61;3,504;128,2814;128,2814
2087;36,61;3,504;128,2814;128,2814
2088;36,61;3,504;128,2814;128,2814
2089;36,61;3,504;128,2814;128,9953
2090;36,61;3,543;129,7092;128,9953
2091;36,61;3,504;128,2814;127,5675
2092;36,61;3,465;126,8536;127,5675
2093;36,61;3,504;128,2814;128,2814
2094;36,61;3,504;128,2814;127,5982
2095;36,22;3,504;126,9149;128,312
2096;36,61;3,543;129,7092;126,8354
2097;36,61;3,386;123,9615;126,1214
2098;36,61;3,504;128,2814;128,9953
2099;36,61;3,543;129,7092;126,8814
2100;36,22;3,425;124,0535;126,1674
2101;36,61;3,504;128,2814;128,2814
2102;36,61;3,504;128,2814;128,2814
2103;36,61;3,504;128,2814;128,9953
2104;36,61;3,543;129,7092;131,8692
2105;36,61;3,661;134,0292;131,1553
2106;36,61;3,504;128,2814;127,5675
2107;36,61;3,465;126,8536;127,5675
2108;36,61;3,504;128,2814;128,2814
2109;36,61;3,504;128,2814;126,1674
2110;36,22;3,425;124,0535;126,1674
2111;36,61;3,504;128,2814;126,8353
2112;36,61;3,425;125,3892;126,1214
2113;36,61;3,465;126,8536;127,5675
2114;36,61;3,504;128,2814;128,9953
2115;36,61;3,543;129,7092;128,9953
2116;36,61;3,504;128,2814;128,2814
2117;36,61;3,504;128,2814;128,2814
2118;36,61;3,504;128,2814;128,2814
2119;36,61;3,504;128,2814;129,7275
2120;36,61;3,583;131,1736;130,4414
2121;36,61;3,543;129,7092;128,9953
2122;36,61;3,504;128,2814;128,2814
2123;36,61;3,504;128,2814;128,9953
2124;36,61;3,543;129,7092;129,7092
2125;36,61;3,543;129,7092;129,7092
2126;36,61;3,543;129,7092;128,9953
2127;36,61;3,504;128,2814;128,2814
2128;36,61;3,504;128,2814;128,2814
2129;36,61;3,504;128,2814;128,9953
2130;36,61;3,543;129,7092;128,9953
2131;36,61;3,504;128,2814;129,7275
2132;36,61;3,583;131,1736;129,7275
2133;36,61;3,504;128,2814;128,2814
2134;36,61;3,504;128,2814;126,8918
2135;36,22;3,465;125,5023;127,6058
2136;36,61;3,543;129,7092;128,9953
2137;36,61;3,504;128,2814;128,2814
2138;36,61;3,504;128,2814;128,2814
2139;36,61;3,504;128,2814;128,9953
2140;36,61;3,543;129,7092;129,7092
2141;36,61;3,543;129,7092;129,7092
2142;36,61;3,543;129,7092;128,2814
2143;36,61;3,465;126,8536;127,5675
2144;36,61;3,504;128,2814;128,9953
2145;36,61;3,543;129,7092;129,0184
2146;36,22;3,543;128,3275;128,3044
2147;36,61;3,504;128,2814;128,2814
2148;36,61;3,504;128,2814;128,2814
2149;36,61;3,504;128,2814;129,0288
2150;36,22;3,583;129,7763;129,7428
2151;36,61;3,543;129,7092;128,9953
2152;36,61;3,504;128,2814;128,2814
2153;36,61;3,504;128,2814;128,9953
2154;36,61;3,543;129,7092;129,7092
2155;36,61;3,543;129,7092;128,9953
2156;36,61;3,504;128,2814;128,2814
2157;36,61;3,504;128,2814;128,2814
2158;36,61;3,504;128,2814;128,2814
2159;36,61;3,504;128,2814;128,9953
2160;36,61;3,543;129,7092;128,9953
2161;36,61;3,504;128,2814;128,2814
2162;36,61;3,504;128,2814;128,2814
2163;36,61;3,504;128,2814;128,2814
2164;36,61;3,504;128,2814;129,7275
2165;36,61;3,583;131,1736;130,4414
2166;36,61;3,543;129,7092;130,4414
2167;36,61;3,583;131,1736;130,4414
2168;36,61;3,543;129,7092;128,9953
2169;36,61;3,504;128,2814;127,5982
2170;36,22;3,504;126,9149;128,312
2171;36,61;3,543;129,7092;129,7092
2172;36,61;3,543;129,7092;128,9953
2173;36,61;3,504;128,2814;128,9953
2174;36,61;3,543;129,7092;129,7428
2175;36,22;3,583;129,7763;129,7428
2176;36,61;3,543;129,7092;128,9953
2177;36,61;3,504;128,2814;128,2814
2178;36,61;3,504;128,2814;128,9953
2179;36,61;3,543;129,7092;129,7092
2180;36,61;3,543;129,7092;128,9953
2181;36,61;3,504;128,2814;128,2814
2182;36,61;3,504;128,2814;128,2814
2183;36,61;3,504;128,2814;128,9953
2184;36,61;3,543;129,7092;129,7092
2185;36,61;3,543;129,7092;129,7092
2186;36,61;3,543;129,7092;128,9953
2187;36,61;3,504;128,2814;128,2814
2188;36,61;3,504;128,2814;128,2814
2189;36,61;3,504;128,2814;128,9953
2190;36,61;3,543;129,7092;129,0184
2191;36,22;3,543;128,3275;128,3044
2192;36,61;3,504;128,2814;128,9953
2193;36,61;3,543;129,7092;129,6961
