T[ms];I[A];U[V];P[W]
2081;36,61;3,504;128,2814
2082;36,61;3,504;128,2814
2083;36,61;3,504;128,2814
2084;36,61;3,543;129,7092
2085;36,61;3,543;129,7092
2086;36,61;3,504;128,2814
2087;36,61;3,504;128,2814
2088;36,61;3,504;128,2814
2089;36,61;3,504;128,2814
2090;36,61;3,543;129,7092
2091;36,61;3,504;128,2814
2092;36,61;3,465;126,8536
2093;36,61;3,504;128,2814
2094;36,61;3,504;128,2814
2095;36,22;3,504;126,9149
2096;36,61;3,543;129,7092
2097;36,61;3,386;123,9615
2098;36,61;3,504;128,2814
2099;36,61;3,543;129,7092
2100;36,22;3,425;124,0535
2101;36,61;3,504;128,2814
2102;36,61;3,504;128,2814
2103;36,61;3,504;128,2814
2104;36,61;3,543;129,7092
2105;36,61;3,661;134,0292
2106;36,61;3,504;128,2814
2107;36,61;3,465;126,8536
2108;36,61;3,504;128,2814
2109;36,61;3,504;128,2814
2110;36,22;3,425;124,0535
2111;36,61;3,504;128,2814
2112;36,61;3,425;125,3892
2113;36,61;3,465;126,8536
2114;36,61;3,504;128,2814
2115;36,61;3,543;129,7092
2116;36,61;3,504;128,2814
2117;36,61;3,504;128,2814
2118;36,61;3,504;128,2814
2119;36,61;3,504;128,2814
2120;36,61;3,583;131,1736
2121;36,61;3,543;129,7092
2122;36,61;3,504;128,2814
2123;36,61;3,504;128,2814
2124;36,61;3,543;129,7092
2125;36,61;3,543;129,7092
2126;36,61;3,543;129,7092
2127;36,61;3,504;128,2814
2128;36,61;3,504;128,2814
2129;36,61;3,504;128,2814
2130;36,61;3,543;129,7092
2131;36,61;3,504;128,2814
2132;36,61;3,583;131,1736
2133;36,61;3,504;128,2814
2134;36,61;3,504;128,2814
2135;36,22;3,465;125,5023
2136;36,61;3,543;129,7092
2137;36,61;3,504;128,2814
2138;36,61;3,504;128,2814
2139;36,61;3,504;128,2814
2140;36,61;3,543;129,7092
2141;36,61;3,543;129,7092
2142;36,61;3,543;129,7092
2143;36,61;3,465;126,8536
2144;36,61;3,504;128,2814
2145;36,61;3,543;129,7092
2146;36,22;3,543;128,3275
2147;36,61;3,504;128,2814
2148;36,61;3,504;128,2814
2149;36,61;3,504;128,2814
2150;36,22;3,583;129,7763
2151;36,61;3,543;129,7092
2152;36,61;3,504;128,2814
2153;36,61;3,504;128,2814
2154;36,61;3,543;129,7092
2155;36,61;3,543;129,7092
2156;36,61;3,504;128,2814
2157;36,61;3,504;128,2814
2158;36,61;3,504;128,2814
2159;36,61;3,504;128,2814
2160;36,61;3,543;129,7092
2161;36,61;3,504;128,2814
2162;36,61;3,504;128,2814
2163;36,61;3,504;128,2814
2164;36,61;3,504;128,2814
2165;36,61;3,583;131,1736
2166;36,61;3,543;129,7092
2167;36,61;3,583;131,1736
2168;36,61;3,543;129,7092
2169;36,61;3,504;128,2814
2170;36,22;3,504;126,9149
2171;36,61;3,543;129,7092
2172;36,61;3,543;129,7092
2173;36,61;3,504;128,2814
2174;36,61;3,543;129,7092
2175;36,22;3,583;129,7763
2176;36,61;3,543;129,7092
2177;36,61;3,504;128,2814
2178;36,61;3,504;128,2814
2179;36,61;3,543;129,7092
2180;36,61;3,543;129,7092
2181;36,61;3,504;128,2814
2182;36,61;3,504;128,2814
2183;36,61;3,504;128,2814
2184;36,61;3,543;129,7092
2185;36,61;3,543;129,7092
2186;36,61;3,543;129,7092
2187;36,61;3,504;128,2814
2188;36,61;3,504;128,2814
2189;36,61;3,504;128,2814
2190;36,61;3,543;129,7092
2191;36,22;3,543;128,3275
2192;36,61;3,504;128,2814
2193;36,61;3,543;129,7092
2194;37,01;3,504;129,683
2195;36,61;3,543;129,7092
2196;36,61;3,543;129,7092
2197;36,61;3,543;129,7092
2198;36,61;3,543;129,7092
2199;36,61;3,543;129,7092
2200;36,61;3,543;129,7092
2201;36,22;3,543;128,3275
2202;36,61;3,543;129,7092
2203;36,61;3,425;125,3892
2204;36,61;3,504;128,2814
2205;36,61;3,543;129,7092
2206;36,61;3,543;129,7092
2207;36,61;3,504;128,2814
2208;36,61;3,543;129,7092
2209;36,61;3,504;128,2814
2210;36,61;3,504;128,2814
2211;36,61;3,504;128,2814
2212;36,61;3,504;128,2814
2213;36,61;3,504;128,2814
2214;36,61;3,504;128,2814
2215;36,61;3,543;129,7092
2216;36,22;3,543;128,3275
2217;36,61;3,504;128,2814
2218;36,61;3,504;128,2814
2219;36,61;3,504;128,2814
2220;36,61;3,504;128,2814
2221;36,61;3,583;131,1736
2222;36,61;3,504;128,2814
2223;36,61;3,543;129,7092
2224;36,61;3,543;129,7092
2225;36,61;3,583;131,1736
2226;36,61;3,543;129,7092
2227;36,61;3,543;129,7092
2228;36,61;3,583;131,1736
2229;36,61;3,504;128,2814
2230;36,61;3,583;131,1736
2231;36,61;3,504;128,2814
2232;36,61;3,543;129,7092
2233;36,61;3,504;128,2814
2234;36,61;3,543;129,7092
2235;36,61;3,543;129,7092
2236;36,61;3,583;131,1736
2237;36,61;3,504;128,2814
2238;37,01;3,504;129,683
2239;36,61;3,504;128,2814
2240;36,61;3,543;129,7092
2241;36,61;3,583;131,1736
2242;36,61;3,504;128,2814
2243;36,61;3,543;129,7092
2244;36,61;3,543;129,7092
2245;36,61;3,543;129,7092
2246;36,61;3,504;128,2814
2247;36,61;3,543;129,7092
2248;36,61;3,504;128,2814
2249;36,61;3,504;128,2814
2250;36,61;3,543;129,7092
2251;36,61;3,543;129,7092
2252;36,61;3,543;129,7092
2253;36,61;3,465;126,8536
2254;36,61;3,504;128,2814
2255;36,61;3,543;129,7092
2256;36,22;3,583;129,7763
2257;36,61;3,504;128,2814
2258;36,61;3,504;128,2814
2259;36,61;3,504;128,2814
2260;36,61;3,504;128,2814
2261;36,61;3,504;128,2814
2262;36,61;3,504;128,2814
2263;36,61;3,465;126,8536
2264;36,61;3,504;128,2814
2265;36,61;3,543;129,7092
2266;36,61;3,504;128,2814
2267;36,61;3,504;128,2814
2268;36,61;3,543;129,7092
2269;36,61;3,543;129,7092
2270;36,61;3,543;129,7092
2271;36,61;3,543;129,7092
2272;36,61;3,543;129,7092
2273;36,61;3,504;128,2814
2274;36,61;3,543;129,7092
2275;36,61;3,583;131,1736
2276;36,61;3,504;128,2814
2277;36,61;3,543;129,7092
2278;37,01;3,543;131,1264
2279;36,61;3,465;126,8536
2280;36,61;3,583;131,1736
2281;36,61;3,583;131,1736
2282;36,61;3,543;129,7092
2283;37,01;3,543;131,1264
2284;36,61;3,504;128,2814
2285;36,61;3,583;131,1736
2286;36,61;3,583;131,1736
2287;36,61;3,504;128,2814
2288;36,61;3,504;128,2814
2289;36,61;3,504;128,2814
2290;36,61;3,543;129,7092
2291;36,22;3,425;124,0535
2292;36,61;3,543;129,7092
2293;36,61;3,425;125,3892
2294;36,61;3,543;129,7092
2295;36,61;3,543;129,7092
2296;36,61;3,504;128,2814
2297;36,61;3,543;129,7092
2298;36,61;3,543;129,7092
2299;36,61;3,543;129,7092
2300;36,61;3,543;129,7092
2301;36,22;3,701;134,0502
2302;36,61;3,504;128,2814
2303;36,61;3,504;128,2814
2304;36,61;3,543;129,7092
2305;36,61;3,583;131,1736
2306;36,22;3,425;124,0535
2307;36,61;3,504;128,2814
2308;36,61;3,543;129,7092
2309;36,61;3,504;128,2814
2310;36,61;3,504;128,2814
2311;36,22;3,465;125,5023
2312;36,61;3,504;128,2814
2313;36,61;3,543;129,7092
2314;36,61;3,504;128,2814
2315;36,61;3,543;129,7092
2316;36,61;3,583;131,1736
2317;36,22;3,543;128,3275
2318;36,61;3,465;126,8536
2319;36,61;3,543;129,7092
2320;36,61;3,543;129,7092
2321;36,22;3,543;128,3275
2322;36,61;3,543;129,7092
2323;36,61;3,504;128,2814
2324;36,61;3,543;129,7092
2325;36,61;3,583;131,1736
2326;36,22;3,543;128,3275
2327;36,61;3,543;129,7092
2328;36,61;3,504;128,2814
2329;37,01;3,543;131,1264
2330;36,61;3,543;129,7092
2331;36,61;3,583;131,1736
2332;36,61;3,543;129,7092
2333;36,61;3,583;131,1736
2334;36,61;3,543;129,7092
2335;36,61;3,543;129,7092
2336;36,61;3,543;129,7092
2337;36,61;3,543;129,7092
2338;36,61;3,583;131,1736
2339;36,61;3,504;128,2814
2340;36,61;3,543;129,7092
2341;36,61;3,543;129,7092
2342;36,22;3,543;128,3275
2343;36,61;3,504;128,2814
2344;37,01;3,504;129,683
2345;36,61;3,543;129,7092
2346;36,61;3,543;129,7092
2347;36,22;3,543;128,3275
2348;36,61;3,583;131,1736
2349;36,61;3,543;129,7092
2350;36,61;3,543;129,7092
2351;36,61;3,543;129,7092
2352;36,61;3,543;129,7092
2353;36,61;3,543;129,7092
2354;36,61;3,504;128,2814
2355;37,01;3,543;131,1264
2356;36,61;3,543;129,7092
2357;36,61;3,504;128,2814
2358;36,61;3,504;128,2814
2359;37,01;3,543;131,1264
2360;36,61;3,504;128,2814
2361;36,61;3,583;131,1736
2362;36,61;3,504;128,2814
2363;37,01;3,504;129,683
2364;36,61;3,504;128,2814
2365;36,61;3,504;128,2814
2366;36,22;3,543;128,3275
2367;36,61;3,543;129,7092
2368;36,61;3,504;128,2814
2369;36,61;3,504;128,2814
2370;36,61;3,543;129,7092
2371;36,61;3,583;131,1736
2372;36,61;3,583;131,1736
2373;36,61;3,543;129,7092
2374;36,61;3,504;128,2814
2375;36,61;3,583;131,1736
2376;36,61;3,583;131,1736
2377;36,61;3,543;129,7092
2378;36,61;3,583;131,1736
2379;36,61;3,543;129,7092
2380;36,61;3,504;128,2814
2381;36,61;3,543;129,7092
2382;36,61;3,543;129,7092
2383;36,61;3,543;129,7092
2384;36,61;3,504;128,2814
2385;36,61;3,543;129,7092
2386;36,61;3,543;129,7092
2387;36,61;3,543;129,7092
2388;36,61;3,543;129,7092
2389;36,61;3,543;129,7092
2390;36,61;3,543;129,7092
2391;36,61;3,543;129,7092
2392;36,61;3,543;129,7092
2393;36,61;3,543;129,7092
2394;36,61;3,543;129,7092
2395;36,61;3,543;129,7092
2396;36,61;3,583;131,1736
2397;36,22;3,583;129,7763
2398;36,61;3,543;129,7092
2399;36,61;3,504;128,2814
2400;36,61;3,543;129,7092
2401;36,22;3,543;128,3275
2402;36,22;3,583;129,7763
2403;36,61;3,543;129,7092
2404;37,01;3,504;129,683
2405;36,61;3,504;128,2814
2406;36,61;3,543;129,7092
2407;36,61;3,543;129,7092
2408;36,61;3,504;128,2814
2409;37,01;3,504;129,683
2410;36,61;3,543;129,7092
2411;36,61;3,543;129,7092
2412;36,61;3,583;131,1736
2413;36,61;3,504;128,2814
2414;36,61;3,504;128,2814
2415;36,61;3,543;129,7092
2416;36,61;3,543;129,7092
2417;36,61;3,583;131,1736
2418;36,61;3,543;129,7092
2419;36,61;3,583;131,1736
2420;36,61;3,543;129,7092
2421;36,61;3,543;129,7092
2422;36,61;3,543;129,7092
2423;36,61;3,543;129,7092
2424;36,61;3,543;129,7092
2425;36,61;3,543;129,7092
2426;36,61;3,583;131,1736
2427;36,61;3,583;131,1736
2428;36,61;3,543;129,7092
2429;36,61;3,583;131,1736
2430;36,61;3,543;129,7092
2431;36,61;3,583;131,1736
2432;36,61;3,583;131,1736
2433;36,61;3,543;129,7092
2434;36,61;3,504;128,2814
2435;36,61;3,543;129,7092
2436;36,61;3,622;132,6014
2437;36,22;3,543;128,3275
2438;36,61;3,543;129,7092
2439;36,61;3,504;128,2814
2440;36,61;3,543;129,7092
2441;36,61;3,583;131,1736
2442;36,61;3,583;131,1736
2443;36,61;3,543;129,7092
2444;36,61;3,543;129,7092
2445;36,61;3,543;129,7092
2446;36,61;3,622;132,6014
2447;36,61;3,583;131,1736
2448;36,61;3,543;129,7092
2449;36,61;3,504;128,2814
2450;36,61;3,543;129,7092
2451;36,61;3,583;131,1736
2452;36,61;3,504;128,2814
2453;36,61;3,543;129,7092
2454;37,01;3,543;131,1264
2455;36,61;3,543;129,7092
2456;36,61;3,543;129,7092
2457;36,61;3,543;129,7092
2458;36,61;3,504;128,2814
2459;36,61;3,504;128,2814
2460;36,61;3,504;128,2814
2461;36,61;3,504;128,2814
2462;36,22;3,583;129,7763
2463;36,61;3,543;129,7092
2464;36,61;3,504;128,2814
2465;36,61;3,543;129,7092
2466;36,61;3,543;129,7092
2467;36,22;3,543;128,3275
2468;34,65;1,811;62,7512
2469;32,28;1,102;35,5726
2470;31,1;0,866;26,9326
2471;27,95;1,614;45,1113
2472;25,59;1,299;33,2414
2473;24,41;1,339;32,685
2474;21,65;1,693;36,6534
2475;19,69;1,457;28,6883
2476;18,5;1,693;31,3205
2477;16,54;1,85;30,599
2478;16,14;1,693;27,325
2479;14,57;1,929;28,1055
2480;12,99;1,929;25,0577
2481;12,2;1,969;24,0218
2482;11,42;2,126;24,2789
2483;10,24;1,929;19,753
2484;9,84;2,008;19,7587
2485;9,06;2,165;19,6149
2486;7,87;2,283;17,9672
2487;6,69;2,205;14,7515
2488;6,69;2,165;14,4838
2489;5,91;2,205;13,0316
2490;5,12;2,126;10,8851
2491;3,94;2,165;8,5301
2492;3,54;2,244;7,9438
2493;3,15;2,126;6,6969
2494;2,76;2,165;5,9754
2495;1,97;2,165;4,2651
2496;1,18;2,244;2,6479
2497;0,39;2,323;0,906
2498;0,39;2,283;0,8904
2499;0;2,244;0
2500;-0,39;2,283;-0,8904
2501;-1,18;2,323;-2,7411
2502;-1,97;2,362;-4,6531
2503;-1,97;2,402;-4,7319
2504;-2,36;2,323;-5,4823
2505;-2,76;2,402;-6,6295
2506;-3,15;2,441;-7,6892
2507;-3,54;2,48;-8,7792
2508;-3,94;2,48;-9,7712
2509;-3,94;2,441;-9,6175
2510;-3,94;2,441;-9,6175
2511;-4,72;2,402;-11,3374
2512;-5,12;2,48;-12,6976
2513;-5,51;2,441;-13,4499
2514;-5,51;2,402;-13,235
2515;-5,51;2,441;-13,4499
2516;-5,91;2,48;-14,6568
2517;-6,3;2,48;-15,624
2518;-6,3;2,48;-15,624
2519;-6,3;2,48;-15,624
2520;-6,69;2,48;-16,5912
2521;-7,09;2,52;-17,8668
2522;-7,09;2,48;-17,5832
2523;-7,48;2,48;-18,5504
2524;-7,09;2,48;-17,5832
2525;-7,09;2,48;-17,5832
2526;-7,48;2,52;-18,8496
2527;-7,87;2,598;-20,4463
2528;-7,87;2,559;-20,1393
2529;-7,87;2,52;-19,8324
2530;-8,27;2,52;-20,8404
2531;-8,27;2,559;-21,1629
2532;-8,66;2,559;-22,1609
2533;-8,66;2,559;-22,1609
2534;-8,66;2,559;-22,1609
2535;-8,66;2,559;-22,1609
2536;-9,06;2,559;-23,1845
2537;-9,06;2,598;-23,5379
2538;-9,06;2,559;-23,1845
2539;-9,06;2,559;-23,1845
2540;-9,06;2,48;-22,4688
2541;-9,06;2,559;-23,1845
2542;-9,45;2,598;-24,5511
2543;-9,45;2,598;-24,5511
2544;-9,06;2,559;-23,1845
2545;-9,06;2,559;-23,1845
2546;-9,45;2,598;-24,5511
2547;-9,84;2,598;-25,5643
2548;-9,84;2,598;-25,5643
2549;-9,84;2,598;-25,5643
2550;-9,45;2,559;-24,1826
2551;-9,84;2,638;-25,9579
2552;-9,84;2,638;-25,9579
2553;-9,84;2,598;-25,5643
2554;-9,84;2,559;-25,1806
2555;-9,84;2,559;-25,1806
2556;-9,84;2,598;-25,5643
2557;-10,24;2,638;-27,0131
2558;-10,24;2,598;-26,6035
2559;-9,84;2,559;-25,1806
2560;-9,84;2,559;-25,1806
2561;-10,24;2,598;-26,6035
2562;-10,63;2,638;-28,0419
2563;-10,24;2,638;-27,0131
2564;-10,63;2,559;-27,2022
2565;-10,24;2,598;-26,6035
2566;-10,24;2,598;-26,6035
2567;-10,63;2,638;-28,0419
2568;-10,63;2,638;-28,0419
2569;-10,24;2,598;-26,6035
2570;-10,24;2,598;-26,6035
2571;-10,24;2,638;-27,0131
2572;-10,63;2,638;-28,0419
2573;-10,63;2,638;-28,0419
2574;-10,63;2,598;-27,6167
2575;-10,63;2,638;-28,0419
2576;-10,63;2,638;-28,0419
2577;-10,63;2,638;-28,0419
2578;-10,63;2,638;-28,0419
2579;-10,63;2,638;-28,0419
2580;-10,63;2,598;-27,6167
2581;-10,63;2,638;-28,0419
2582;-10,63;2,638;-28,0419
2583;-10,63;2,638;-28,0419
2584;-10,63;2,598;-27,6167
2585;-10,63;2,598;-27,6167
2586;-10,63;2,598;-27,6167
2587;-11,42;2,638;-30,126
2588;-11,02;2,638;-29,0708
2589;-10,63;2,638;-28,0419
2590;-10,63;2,638;-28,0419
2591;-11,02;2,638;-29,0708
2592;-11,42;2,638;-30,126
2593;-11,02;2,638;-29,0708
2594;-10,63;2,598;-27,6167
2595;-10,63;2,598;-27,6167
2596;-11,02;2,638;-29,0708
2597;-11,02;2,638;-29,0708
2598;-11,02;2,638;-29,0708
2599;-10,63;2,638;-28,0419
2600;-10,63;2,598;-27,6167
2601;-10,63;2,638;-28,0419
2602;-11,42;2,638;-30,126
2603;-11,02;2,638;-29,0708
2604;-10,63;2,598;-27,6167
2605;-10,63;2,598;-27,6167
2606;-11,02;2,638;-29,0708
2607;-11,42;2,638;-30,126
2608;-11,02;2,638;-29,0708
2609;-11,02;2,638;-29,0708
2610;-10,63;2,638;-28,0419
2611;-10,63;2,638;-28,0419
2612;-11,42;2,638;-30,126
2613;-11,42;2,638;-30,126
2614;-11,02;2,638;-29,0708
2615;-10,63;2,598;-27,6167
2616;-11,02;2,638;-29,0708
2617;-11,42;2,638;-30,126
2618;-11,42;2,638;-30,126
2619;-11,02;2,638;-29,0708
2620;-11,02;2,598;-28,63
2621;-11,02;2,638;-29,0708
2622;-11,42;2,638;-30,126
2623;-11,42;2,638;-30,126
2624;-11,02;2,598;-28,63
2625;-10,63;2,598;-27,6167
2626;-11,02;2,638;-29,0708
2627;-11,42;2,677;-30,5713
2628;-11,42;2,638;-30,126
2629;-11,02;2,638;-29,0708
2630;-11,02;2,638;-29,0708
2631;-11,42;2,638;-30,126
2632;-11,42;2,638;-30,126
2633;-11,42;2,638;-30,126
2634;-11,42;2,598;-29,6692
2635;-11,02;2,638;-29,0708
2636;-11,42;2,638;-30,126
2637;-11,81;2,638;-31,1548
2638;-11,81;2,638;-31,1548
2639;-11,42;2,638;-30,126
2640;-11,02;2,598;-28,63
2641;-11,02;2,598;-28,63
2642;-11,42;2,638;-30,126
2643;-11,81;2,638;-31,1548
2644;-11,02;2,638;-29,0708
2645;-11,02;2,638;-29,0708
2646;-11,42;2,638;-30,126
2647;-11,42;2,638;-30,126
2648;-11,81;2,638;-31,1548
2649;-11,42;2,638;-30,126
2650;-11,02;2,598;-28,63
2651;-11,42;2,638;-30,126
2652;-11,81;2,638;-31,1548
2653;-11,81;2,638;-31,1548
2654;-11,42;2,598;-29,6692
2655;-11,02;2,598;-28,63
2656;-11,02;2,559;-28,2002
2657;-11,42;2,638;-30,126
2658;-11,42;2,638;-30,126
2659;-11,42;2,598;-29,6692
2660;-11,42;2,559;-29,2238
2661;-11,42;2,638;-30,126
2662;-11,42;2,638;-30,126
2663;-11,81;2,638;-31,1548
2664;-11,42;2,638;-30,126
2665;-11,02;2,598;-28,63
2666;-11,42;2,638;-30,126
2667;-11,81;2,638;-31,1548
2668;-11,81;2,638;-31,1548
2669;-11,81;2,638;-31,1548
2670;-11,02;2,598;-28,63
2671;-11,42;2,638;-30,126
2672;-11,81;2,638;-31,1548
2673;-11,81;2,677;-31,6154
2674;-11,42;2,638;-30,126
2675;-11,02;2,598;-28,63
2676;-11,42;2,638;-30,126
2677;-11,81;2,638;-31,1548
2678;-11,81;2,677;-31,6154
2679;-11,42;2,638;-30,126
2680;-11,02;2,638;-29,0708
2681;-11,42;2,638;-30,126
2682;-11,81;2,638;-31,1548
2683;-11,81;2,638;-31,1548
2684;-11,42;2,638;-30,126
2685;-11,02;2,598;-28,63
2686;-11,42;2,638;-30,126
2687;-11,81;2,638;-31,1548
2688;-11,81;2,638;-31,1548
2689;-11,42;2,598;-29,6692
2690;-11,42;2,598;-29,6692
2691;-11,42;2,638;-30,126
2692;-11,81;2,638;-31,1548
2693;-11,81;2,638;-31,1548
2694;-11,81;2,598;-30,6824
2695;-11,02;2,598;-28,63
2696;-11,42;2,638;-30,126
2697;-11,81;2,638;-31,1548
2698;-11,81;2,717;-32,0878
2699;-11,42;2,638;-30,126
2700;-11,42;2,598;-29,6692
2701;-11,81;2,638;-31,1548
2702;-11,81;2,638;-31,1548
2703;-11,81;2,638;-31,1548
2704;-11,81;2,598;-30,6824
2705;-11,02;2,598;-28,63
2706;-11,42;2,638;-30,126
2707;-11,81;2,638;-31,1548
2708;-11,81;2,638;-31,1548
2709;-11,81;2,598;-30,6824
2710;-11,02;2,559;-28,2002
2711;-11,42;2,598;-29,6692
2712;-11,81;2,638;-31,1548
2713;-11,81;2,638;-31,1548
2714;-11,81;2,598;-30,6824
2715;-11,42;2,559;-29,2238
2716;-11,42;2,638;-30,126
2717;-11,81;2,638;-31,1548
2718;-12,2;2,677;-32,6594
2719;-11,81;2,638;-31,1548
2720;-11,42;2,559;-29,2238
2721;-11,81;2,638;-31,1548
2722;-11,81;2,638;-31,1548
2723;-11,81;2,638;-31,1548
2724;-11,81;2,598;-30,6824
2725;-11,42;2,598;-29,6692
2726;-11,42;2,638;-30,126
2727;-11,81;2,638;-31,1548
2728;-11,81;2,638;-31,1548
2729;-11,81;2,638;-31,1548
2730;-11,42;2,598;-29,6692
2731;-11,42;2,598;-29,6692
2732;-11,81;2,638;-31,1548
2733;-11,81;2,638;-31,1548
2734;-11,81;2,598;-30,6824
2735;-11,42;2,598;-29,6692
2736;-11,42;2,598;-29,6692
2737;-11,81;2,638;-31,1548
2738;-11,81;2,638;-31,1548
2739;-11,81;2,638;-31,1548
2740;-11,42;2,559;-29,2238
2741;-11,42;2,598;-29,6692
2742;-11,81;2,638;-31,1548
2743;-11,81;2,638;-31,1548
2744;-11,81;2,638;-31,1548
2745;-11,42;2,598;-29,6692
2746;-11,42;2,638;-30,126
2747;-11,81;2,638;-31,1548
2748;-11,81;2,638;-31,1548
2749;-11,81;2,638;-31,1548
2750;-11,42;2,598;-29,6692
2751;-11,42;2,638;-30,126
2752;-11,81;2,638;-31,1548
2753;-11,81;2,638;-31,1548
2754;-11,81;2,638;-31,1548
2755;-11,02;2,598;-28,63
2756;-11,42;2,598;-29,6692
2757;-11,81;2,638;-31,1548
2758;-11,81;2,638;-31,1548
2759;-11,81;2,598;-30,6824
2760;-11,42;2,598;-29,6692
2761;-11,42;2,598;-29,6692
2762;-11,81;2,598;-30,6824
2763;-11,81;2,638;-31,1548
2764;-11,81;2,598;-30,6824
2765;-11,42;2,598;-29,6692
2766;-11,81;2,598;-30,6824
2767;-11,81;2,677;-31,6154
2768;-12,2;2,638;-32,1836
2769;-11,81;2,638;-31,1548
2770;-11,42;2,638;-30,126
2771;-11,42;2,638;-30,126
2772;-11,81;2,638;-31,1548
2773;-11,81;2,638;-31,1548
2774;-11,81;2,638;-31,1548
2775;-11,42;2,598;-29,6692
2776;-11,42;2,598;-29,6692
2777;-11,81;2,638;-31,1548
2778;-12,2;2,638;-32,1836
2779;-11,81;2,638;-31,1548
2780;-11,42;2,598;-29,6692
2781;-11,42;2,598;-29,6692
2782;-11,81;2,638;-31,1548
2783;-11,81;2,638;-31,1548
2784;-11,81;2,638;-31,1548
2785;-11,42;2,559;-29,2238
2786;-11,42;2,598;-29,6692
2787;-11,81;2,677;-31,6154
2788;-11,81;2,638;-31,1548
2789;-11,81;2,638;-31,1548
2790;-11,42;2,598;-29,6692
2791;-11,81;2,598;-30,6824
2792;-11,81;2,638;-31,1548
2793;-11,81;2,677;-31,6154
2794;-11,81;2,638;-31,1548
2795;-11,42;2,598;-29,6692
2796;-11,42;2,598;-29,6692
2797;-11,81;2,638;-31,1548
2798;-12,2;2,638;-32,1836
2799;-11,81;2,638;-31,1548
2800;-11,42;2,598;-29,6692
2801;-11,42;2,598;-29,6692
2802;-11,81;2,638;-31,1548
2803;-11,81;2,677;-31,6154
2804;-11,81;2,638;-31,1548
2805;-11,42;2,598;-29,6692
2806;-11,42;2,559;-29,2238
2807;-11,81;2,598;-30,6824
2808;-12,2;2,638;-32,1836
2809;-11,81;2,598;-30,6824
2810;-11,42;2,559;-29,2238
2811;-11,42;2,559;-29,2238
2812;-11,81;2,598;-30,6824
2813;-11,81;2,638;-31,1548
2814;-11,81;2,638;-31,1548
2815;-11,42;2,559;-29,2238
2816;-11,42;2,598;-29,6692
2817;-11,81;2,638;-31,1548
2818;-12,2;2,638;-32,1836
2819;-11,81;2,638;-31,1548
2820;-11,42;2,598;-29,6692
2821;-11,42;2,598;-29,6692
2822;-11,81;2,638;-31,1548
2823;-12,2;2,638;-32,1836
2824;-11,81;2,638;-31,1548
2825;-11,81;2,559;-30,2218
2826;-11,42;2,598;-29,6692
2827;-11,81;2,638;-31,1548
2828;-12,2;2,638;-32,1836
2829;-11,81;2,638;-31,1548
2830;-11,81;2,598;-30,6824
2831;-11,42;2,559;-29,2238
2832;-11,81;2,638;-31,1548
2833;-12,2;2,638;-32,1836
2834;-11,81;2,638;-31,1548
2835;-11,42;2,598;-29,6692
2836;-11,42;2,598;-29,6692
2837;-11,81;2,638;-31,1548
2838;-12,2;2,638;-32,1836
2839;-11,81;2,638;-31,1548
2840;-11,42;2,598;-29,6692
2841;-11,42;2,559;-29,2238
2842;-11,81;2,598;-30,6824
2843;-11,81;2,638;-31,1548
2844;-12,2;2,638;-32,1836
2845;-11,81;2,598;-30,6824
2846;-11,42;2,559;-29,2238
2847;-11,81;2,598;-30,6824
2848;-12,2;2,638;-32,1836
2849;-12,2;2,638;-32,1836
2850;-11,81;2,598;-30,6824
2851;-11,42;2,559;-29,2238
2852;-11,81;2,598;-30,6824
2853;-12,2;2,638;-32,1836
2854;-12,2;2,638;-32,1836
2855;-11,42;2,559;-29,2238
2856;-11,42;2,559;-29,2238
2857;-11,81;2,598;-30,6824
2858;-11,81;2,638;-31,1548
2859;-12,2;2,638;-32,1836
2860;-11,81;2,598;-30,6824
2861;-11,42;2,559;-29,2238
2862;-11,42;2,598;-29,6692
2863;-11,81;2,638;-31,1548
2864;-11,81;2,598;-30,6824
2865;-11,81;2,559;-30,2218
2866;-11,42;2,559;-29,2238
2867;-11,81;2,598;-30,6824
2868;-12,2;2,638;-32,1836
2869;-12,2;2,638;-32,1836
2870;-11,81;2,598;-30,6824
2871;-11,42;2,598;-29,6692
2872;-11,42;2,598;-29,6692
2873;-12,2;2,638;-32,1836
2874;-11,81;2,638;-31,1548
2875;-11,81;2,598;-30,6824
2876;-11,42;2,559;-29,2238
2877;-11,42;2,598;-29,6692
2878;-11,81;2,638;-31,1548
2879;-12,2;2,638;-32,1836
2880;-11,81;2,598;-30,6824
2881;-11,42;2,598;-29,6692
2882;-11,81;2,559;-30,2218
2883;-11,81;2,638;-31,1548
2884;-11,81;2,638;-31,1548
2885;-11,81;2,598;-30,6824
2886;-11,42;2,559;-29,2238
2887;-11,81;2,598;-30,6824
2888;-11,81;2,638;-31,1548
2889;-11,81;2,638;-31,1548
2890;-11,81;2,598;-30,6824
2891;-11,42;2,559;-29,2238
2892;-11,81;2,598;-30,6824
2893;-11,81;2,638;-31,1548
2894;-12,2;2,638;-32,1836
2895;-11,81;2,598;-30,6824
2896;-11,81;2,559;-30,2218
2897;-11,42;2,559;-29,2238
2898;-11,81;2,638;-31,1548
2899;-12,2;2,638;-32,1836
2900;-11,81;2,598;-30,6824
2901;-11,42;2,559;-29,2238
2902;-11,42;2,559;-29,2238
2903;-11,81;2,638;-31,1548
2904;-12,2;2,638;-32,1836
2905;-11,81;2,598;-30,6824
2906;-11,42;2,559;-29,2238
2907;-11,42;2,559;-29,2238
